# Parameter numbers present in _both_ the postprocess script and in our T-AMIP runs
# ------------------------------------------------------------------------------------------------
        variables      names_old        names                                               longname       units_old             table_id    representation
       165166.128           U10M      sfcWind                            Mean of 10 metre wind speed           m s-1        TAMIP_3hrSlev         gridpoint
   212178rsut.128             SI         rsut                       TOA Outgoing Shortwave Radiation           J m-2        TAMIP_3hrSlev         gridpoint
   175177rlus.128           STRD         rlus                   Surface Upwelling Longwave Radiation           J m-2        TAMIP_3hrSlev         gridpoint
   169176rsus.128           SSRD         rsus                  Surface Upwelling Shortwave Radiation           J m-2        TAMIP_3hrSlev         gridpoint
  86210rsuscs.128          var86       rsuscs        Surface Upwelling Clear-Sky Shortwave Radiation           J m-2        TAMIP_3hrSlev         gridpoint
 212208rsutcs.128             SI       rsutcs             TOA Outgoing Clear-Sky Shortwave Radiation           J m-2        TAMIP_3hrSlev         gridpoint
    209rlutcs.128           TTRC       rlutcs              TOA Outgoing Clear-Sky Longwave Radiation           J m-2        TAMIP_3hrSlev         gridpoint
    7879clwvi.128          var78        clwvi                    Condensed water path (liquid + ice)          kg m-2        TAMIP_3hrSlev         gridpoint
           82.128          var82         huss                                Specific Humidity at 2m               1        TAMIP_3hrSlev         gridpoint
           83.128          var83         hurs                                Relative Humidity at 2m               %        TAMIP_3hrSlev         gridpoint
           86.128          var86       rsdscs                Surface Downwelling Shortwave Clear Sky           J m-2        TAMIP_3hrSlev         gridpoint
           87.128          var87       rldscs       Surface Downwelling Clear-Sky Longwave Radiation           J m-2        TAMIP_3hrSlev         gridpoint
      179rlut.128            TTR         rlut                        TOA Outgoing Longwave Radiation           J m-2        TAMIP_3hrSlev         gridpoint
        96cct.128         var118          cct                   Air pressure at Convective Cloud Top     Model level        TAMIP_3hrSlev         gridpoint
        96ccb.128         var118          ccb                  Air Pressure at Convective Cloud Base     Model level        TAMIP_3hrSlev         gridpoint
           44.128             ES          sbl                  Surface Snow and Ice Sublimation Flux               m        TAMIP_3hrSlev         gridpoint
          137.128           TCWV          prw                                       Water Vapor Path          kg m-2        TAMIP_3hrSlev         gridpoint
          142.128            LSP           pr                                          Precipitation               m        TAMIP_3hrSlev         gridpoint
          143.128             CP          prc                               Convective Precipitation               m        TAMIP_3hrSlev         gridpoint
          144.128             SF         prsn                                    Solid Precipitation               m        TAMIP_3hrSlev         gridpoint
          146.128           SSHF         hfss                      Surface Upward Sensible Heat Flux           J m-2        TAMIP_3hrSlev         gridpoint
          147.128           SLHF         hfls                        Surface Upward Latent Heat Flux           J m-2        TAMIP_3hrSlev         gridpoint
          151.128            MSL          psl                                     Sea Level Pressure              Pa        TAMIP_3hrSlev         gridpoint
          164.128            TCC          clt                                   Total Cloud Fraction               -        TAMIP_3hrSlev         gridpoint
          165.128           U10M          uas                             Eastward Near-Surface Wind           m s-1        TAMIP_3hrSlev         gridpoint
          166.128           V10M          vas                            Northward Near-Surface Wind           m s-1        TAMIP_3hrSlev         gridpoint
          167.128            T2M           ts                                    Surface Temperature               K        TAMIP_3hrSlev         gridpoint
          169.128           SSRD         rsds                Surface Downwelling Shortwave Radiation           J m-2        TAMIP_3hrSlev         gridpoint
          175.128           STRD         rlds                 Surface Downwelling Longwave Radiation           J m-2        TAMIP_3hrSlev         gridpoint
          180.128           EWSS         tauu                  Surface Downward Eastward Wind Stress         N m-2 s        TAMIP_3hrSlev         gridpoint
          181.128           NSSS         tauv                 Surface Downward Northward Wind Stress         N m-2 s        TAMIP_3hrSlev         gridpoint
          182.128              E      evspsbl                                            Evaporation               m        TAMIP_3hrSlev         gridpoint
          235.128            SKT          tas                           Near-Surface Air Temperature               K        TAMIP_3hrSlev         gridpoint
           79.128          var79        clivi                                         Ice Water Path          kg m-2        TAMIP_3hrSlev         gridpoint
          212.128             SI         rsdt                          TOA     Incident    Shortwave           J m-2        TAMIP_3hrSlev         gridpoint
# Unclear what to do with the entrie below
#        96ci.128           LBUD23           ci                        Fraction of time convection occurs                -                 TAMIP_3hrSlev
#       96sci.128           LBUD23          sci                Fraction of time shallow convection occurs                -                 TAMIP_3hrSlev
# #######################
# These have been checked for a single case
